neighborhood,bhk,area_sqft,price_inr,age_years,amenities,listed_on
Borivali,2,,10670528.0,13,"Gym, Security",08-Apr-24
Juhu,2,1061.0,4625621.0,6,"Garden, Parking, Pool",2025-05-10
Worli,2,773.0,10090331.0,9,Gym,2024-02-05
Bandra,2,595.0,26041678.0,14,Garden,10/04/2025
Borivali,2,688.0,27327673.0,30,"Pool, Garden",2025-05-11
Powai,3,1156.0,12295307.0,28,"Garden, Security, Gym, Pool",01-May-25
Juhu,3,1026.0,6038447.0,16,Parking,2024-04-05
Powai,3,,30800403.0,28,Pool,"May 31, 2024"
Goregaon,2,1026.0,17761677.0,14,"Gym, Security","May 30, 2024"
Goregaon,1,336.0,6281341.0,25,Garden,2024-07-08
Thane,2,1640.0,13329783.0,11,"Gym, Parking, Garden, Security",11/08/2024
Worli,2,1031.0,12968697.0,24,"Pool, Gym, Garden, Security","February 06, 2024"
Borivali,2,1080.0,7406903.0,4,"Gym, Security",24-Sep-24
Navi Mumbai,3,768.0,13374548.0,3,"Security, Parking, Gym",03/01/2025
Navi Mumbai,1,1289.0,21077404.0,30,Parking,2024-07-01
Borivali,1,517.0,9086047.0,2,"Gym, Garden, Pool, Parking",13/01/2024
Bandra,2,1113.0,22408736.0,2,"Parking, Garden",05/10/2024
Worli,3,250.0,3785874.0,25,"Pool, Gym, Security, Garden",04/08/2024
Powai,2,1137.0,41077053.0,16,"Gym, Parking, Security, Pool",20/12/2024
Bandra,3,522.0,11233498.0,9,Pool,2024-12-26
Dadar,2,996.0,20662119.0,1,"Security, Gym",2024-10-12
Borivali,4,1375.0,12374728.0,23,Parking,"September 29, 2024"
Powai,4,1187.0,6621857.0,10,"Pool, Garden, Gym","January 03, 2025"
Navi Mumbai,2,1328.0,10619198.0,23,"Security, Parking, Pool",02-Mar-24
Andheri,2,1292.0,3451493.0,34,"Parking, Garden, Pool",24-Mar-24
Thane,2,716.0,16403941.0,22,Pool,"January 02, 2025"
Navi Mumbai,2,1109.0,12191612.0,31,"Pool, Parking, Security, Garden","August 04, 2024"
Worli,3,296.0,9675096.0,22,"Parking, Pool",07/12/2024
Goregaon,3,659.0,17049301.0,33,Gym,"January 31, 2025"
Andheri,3,,11100647.0,18,"Garden, Gym, Parking",05-Jul-24
Thane,3,765.0,15620550.0,1,Gym,"January 19, 2024"
Thane,2,250.0,19334274.0,1,"Pool, Parking",25/06/2024
Dadar,2,1604.0,7806468.0,14,"Gym, Garden, Parking, Pool",09-Apr-24
Dadar,3,1096.0,6574794.0,20,"Security, Garden, Parking",2025-01-30
mumbai,2,1167.0,3861105.0,34,"Pool, Garden, Parking, Gym","March 20, 2025"
Navi Mumbai,3,,11681728.0,4,"Garden, Parking",2024-08-20
Navi Mumbai,2,999.0,14235628.0,26,"Pool, Security",06-Feb-25
Navi Mumbai,1,990.0,4905319.0,23,"Gym, Parking, Pool, Security","March 16, 2024"
Juhu,5,612.0,25450041.0,6,"Garden, Pool",2024-09-21
Bandra,2,840.0,6626576.0,5,"Gym, Pool, Garden, Security","March 30, 2025"
Thane,5,374.0,3072186.0,32,"Gym, Parking, Garden, Security",2024-10-10
Andheri,5,778.0,26612557.0,16,"Pool, Gym, Garden",2024-07-24
Worli,3,1240.0,3322377.0,29,"Gym, Pool",10-Aug-24
Thane,3,638.0,19355889.0,7,"Gym, Garden","January 18, 2025"
Dadar,3,1567.0,16729291.0,39,"Garden, Parking, Pool",2024-02-21
Powai,4,397.0,13147372.0,6,"Gym, Garden, Security, Pool","December 04, 2024"
Goregaon,2,,7931360.0,5,"Pool, Gym, Parking","January 01, 2025"
Juhu,2,,14675330.0,3,Garden,23/05/2024
Borivali,3,,20360166.0,0,Garden,07-Jan-25
Powai,2,1380.0,6007467.0,14,Security,"March 09, 2024"
Worli,2,555.0,19498034.0,30,"Parking, Garden, Pool","April 08, 2024"
Navi Mumbai,2,742.0,18972948.0,24,Gym,"January 30, 2025"
Dadar,3,1129.0,12939959.0,32,"Parking, Security, Garden",25-Jan-24
Dadar,4,932.0,7859355.0,34,"Parking, Garden, Security, Pool",11-Mar-25
Dadar,2,961.0,19025189.0,4,"Security, Gym, Pool","January 13, 2025"
Navi Mumbai,4,562.0,14723976.0,4,"Security, Parking, Garden",13-Apr-25
Borivali,3,874.0,5899772.0,35,"Security, Pool, Parking, Gym",28/04/2025
Juhu,3,1296.0,8706553.0,16,"Pool, Gym, Parking",22-Feb-24
Powai,3,336.0,17741782.0,13,"Gym, Parking",30/05/2024
Navi Mumbai,3,655.0,11625928.0,28,"Gym, Security, Garden",23/05/2024
Worli,1,264.0,20823438.0,7,Garden,26/02/2024
Juhu,3,1087.0,8841897.0,33,"Garden, Security",2024-02-08
Worli,1,1328.0,5956912.0,39,"Garden, Gym, Security, Parking",18-Apr-24
Juhu,4,835.0,40473645.0,0,"Security, Gym, Pool, Parking","June 29, 2024"
Borivali,5,,3958845.0,28,"Gym, Parking, Garden, Pool",11/02/2024
Goregaon,2,558.0,8041259.0,35,Garden,"July 04, 2024"
Worli,2,796.0,12837085.0,36,"Security, Garden",26/02/2025
Navi Mumbai,3,794.0,19611964.0,28,"Security, Parking, Garden","February 01, 2025"
Juhu,2,1219.0,15996326.0,4,Security,2024-08-10
Dadar,4,665.0,43434100.0,31,"Parking, Gym",01/05/2024
Thane,1,1052.0,10114099.0,23,Garden,2024-05-12
Dadar,1,793.0,6428232.0,18,"Garden, Parking, Security",2024-06-11
Bandra,5,639.0,9513119.0,11,"Garden, Gym, Security",02-Aug-24
Goregaon,3,784.0,8957611.0,0,"Garden, Parking, Security, Pool","August 08, 2024"
Goregaon,3,1017.0,10417763.0,6,Garden,22/08/2024
Dadar,2,1220.0,6019454.0,16,Security,2024-11-26
Powai,3,811.0,17373101.0,33,"Parking, Security, Garden","May 25, 2024"
Borivali,3,478.0,13558146.0,6,Gym,26-Aug-24
Worli,3,,5084318.0,16,"Security, Garden, Pool","March 16, 2024"
Navi Mumbai,3,,19400610.0,2,Security,"January 09, 2024"
Goregaon,3,991.0,6669871.0,28,Security,14-Mar-24
Dadar,2,,5337728.0,21,"Pool, Security, Garden, Gym",17-Mar-25
Dadar,2,844.0,11437377.0,37,Security,06-May-25
Borivali,3,729.0,3780224.0,28,"Security, Gym, Pool",2025-02-04
Borivali,2,1117.0,15458999.0,4,Security,"September 09, 2024"
Andheri,3,250.0,1976219.0,29,"Gym, Security, Garden",17-Aug-24
Andheri,2,1297.0,5852517.0,22,Security,"January 07, 2024"
Powai,3,580.0,27926382.0,20,"Parking, Pool","June 22, 2024"
Powai,3,1042.0,7188582.0,25,Garden,2024-05-20
Bandra,2,1024.0,7984789.0,20,Pool,"June 16, 2024"
Powai,1,1346.0,23305479.0,19,"Gym, Garden, Pool, Security",2024-06-18
Juhu,1,969.0,6744796.0,22,Parking,27-Jan-25
Borivali,3,609.0,17159507.0,3,"Garden, Pool, Gym, Parking",09-Mar-25
Navi Mumbai,3,338.0,21955163.0,20,Garden,"October 09, 2024"
Juhu,1,777.0,14463202.0,20,"Garden, Parking, Gym, Pool",2024-05-01
Worli,3,250.0,4561042.0,0,"Garden, Gym",2024-07-12
Dadar,2,680.0,7554156.0,14,"Garden, Pool, Parking",05/01/2024
Powai,2,797.0,55293829.0,16,Garden,29/01/2024
Dadar,4,658.0,8086332.0,13,Pool,13-Jun-24
Goregaon,2,914.0,65123604.0,18,"Pool, Security, Garden, Parking",25-Feb-25
Bandra,2,817.0,30261246.0,33,"Pool, Gym, Parking",04/12/2024
Goregaon,1,785.0,14819312.0,5,"Security, Gym",2024-05-15
Bandra,1,250.0,12972478.0,5,"Pool, Security, Garden, Gym","May 10, 2025"
Andheri,2,446.0,8211991.0,4,"Gym, Garden, Security","December 30, 2024"
Dadar,1,,10289684.0,6,"Garden, Gym, Pool",2024-11-16
Bandra,3,1181.0,7179681.0,32,"Security, Gym",07-Dec-24
Thane,2,256.0,10446987.0,12,"Pool, Gym","May 14, 2025"
Juhu,2,614.0,4793077.0,0,"Garden, Pool",2024-05-24
Bandra,2,1275.0,4641450.0,12,"Gym, Parking, Security, Garden","November 22, 2024"
Bandra,2,,23691086.0,26,"Garden, Pool",2024-08-04
Juhu,3,860.0,4125155.0,6,"Garden, Parking, Gym, Security",27/10/2024
Dadar,5,1404.0,18470453.0,2,"Gym, Pool, Security",11/05/2024
Dadar,1,773.0,3482882.0,24,"Garden, Parking, Security","October 18, 2024"
Juhu,4,723.0,15835781.0,32,"Gym, Garden, Parking, Security","March 10, 2024"
Goregaon,3,845.0,9582503.0,39,"Parking, Garden, Pool","September 08, 2024"
Thane,3,1548.0,23981415.0,16,"Parking, Security","February 18, 2025"
Navi Mumbai,2,1056.0,8893252.0,13,"Pool, Garden, Parking, Gym",01/10/2024
Worli,1,906.0,3250359.0,36,Security,20/03/2025
Thane,1,716.0,9695556.0,22,"Gym, Parking",2024-12-29
Dadar,3,1088.0,11944677.0,23,"Gym, Pool, Security, Parking","June 30, 2024"
Navi Mumbai,2,1130.0,10027215.0,28,"Garden, Gym",15/06/2024
Andheri,4,524.0,15326052.0,37,"Security, Gym",31-Mar-24
Powai,2,1140.0,7735782.0,26,Garden,2024-07-20
Bandra,1,847.0,5085776.0,37,"Garden, Security, Parking",2024-12-11
Juhu,3,908.0,5957793.0,39,Garden,2024-01-19
Juhu,2,590.0,7964778.0,22,"Parking, Pool",08-Feb-24
Bandra,2,,7923874.0,30,Security,05-May-24
Powai,3,539.0,45977992.0,35,Pool,26-Mar-25
Worli,4,522.0,23047394.0,16,Gym,21/06/2024
Powai,3,1031.0,16387436.0,36,"Garden, Gym",20-May-24
Navi Mumbai,3,775.0,14183750.0,2,"Garden, Gym, Pool",2024-08-29
Powai,3,445.0,12992247.0,35,Gym,"August 07, 2024"
Navi Mumbai,4,1661.0,13033067.0,4,Pool,2024-05-05
Powai,2,506.0,11970689.0,14,"Pool, Gym",2024-02-27
Worli,1,1282.0,11117950.0,5,"Security, Pool",27/05/2024
Worli,2,383.0,3093710.0,9,"Pool, Security, Gym, Parking",2025-04-20
Dadar,2,1059.0,8697304.0,31,"Parking, Security, Pool, Gym",31/03/2025
Bandra,3,812.0,9396234.0,22,Parking,12/11/2024
Worli,3,679.0,6924775.0,16,"Parking, Security","January 17, 2025"
Navi Mumbai,3,968.0,7774361.0,19,"Pool, Gym",2024-12-26
Worli,1,921.0,12999863.0,14,Parking,"February 26, 2025"
Dadar,3,615.0,17202307.0,21,"Gym, Security, Garden","January 01, 2024"
Juhu,2,599.0,12988071.0,5,"Garden, Parking, Gym, Pool",2025-01-21
Navi Mumbai,3,349.0,16944715.0,3,"Security, Garden, Pool",2025-04-05
Dadar,3,1006.0,17125255.0,22,"Gym, Parking",13-Dec-24
Goregaon,2,461.0,9067223.0,18,"Parking, Security, Pool",08-Jul-24
Goregaon,1,901.0,14874881.0,30,Gym,09/07/2024
Andheri,1,1107.0,3806332.0,2,"Gym, Parking, Pool, Security",2025-01-03
Powai,3,972.0,8618356.0,27,"Gym, Security, Pool, Parking",12/02/2025
Bandra,4,646.0,8031558.0,2,"Parking, Garden, Gym","November 07, 2024"
Borivali,3,1218.0,27201865.0,13,"Pool, Security","February 20, 2025"
Thane,1,757.0,13286411.0,17,"Garden, Parking, Gym, Pool",25-Feb-25
Dadar,2,433.0,4873523.0,26,"Pool, Parking, Gym, Garden",26/04/2024
Juhu,3,800.0,15506197.0,9,"Gym, Security, Parking",2024-05-13
Thane,3,1105.0,18734363.0,14,Security,2024-02-27
Juhu,1,663.0,10285047.0,18,"Pool, Parking, Security, Garden",13-Feb-24
Thane,1,1207.0,16422347.0,8,Gym,21-Jun-24
Dadar,3,630.0,2427993.0,3,Gym,08/06/2024
Borivali,2,678.0,2148771.0,14,"Garden, Parking, Pool, Gym",21-Jun-24
Thane,2,533.0,5351024.0,7,"Garden, Gym, Parking",12-Nov-24
Dadar,1,1139.0,11868802.0,0,"Gym, Security, Pool, Garden",29-Oct-24
Worli,2,881.0,27215528.0,6,Garden,"May 28, 2024"
Borivali,4,557.0,5521408.0,30,Parking,20/03/2024
Navi Mumbai,5,761.0,6503126.0,17,"Parking, Pool",2025-01-08
Juhu,3,250.0,11446148.0,11,"Gym, Parking, Pool, Security",2024-07-31
Goregaon,2,1172.0,8077627.0,29,"Security, Parking, Garden, Pool",21/07/2024
Powai,1,,7806643.0,32,Security,08-Sep-24
Goregaon,2,250.0,8428380.0,6,"Security, Garden",16-Aug-24
Borivali,2,390.0,23887673.0,27,"Pool, Security, Parking",2024-06-12
Navi Mumbai,3,752.0,21203580.0,2,"Parking, Security","August 14, 2024"
Juhu,2,440.0,11007436.0,5,"Security, Gym",26/05/2024
Navi Mumbai,2,1177.0,29287992.0,30,"Security, Gym, Garden, Pool",20-Jan-24
Thane,1,1046.0,14730298.0,37,"Pool, Gym, Security","March 16, 2025"
MUMBAI,2,1025.0,21689449.0,14,"Pool, Gym, Garden","February 05, 2025"
Thane,1,,6476379.0,6,"Security, Pool",16-Feb-24
Dadar,2,716.0,7332256.0,29,"Garden, Pool, Security",20/08/2024
Borivali,5,655.0,7285311.0,26,"Pool, Garden, Gym",31/10/2024
Dadar,2,566.0,10303216.0,16,Garden,2024-01-14
Andheri,2,754.0,11250779.0,17,"Gym, Security",2024-05-22
Navi Mumbai,4,505.0,13183893.0,21,"Security, Gym",18/02/2025
Thane,5,975.0,35458123.0,25,"Garden, Pool",01-Jan-24
Worli,3,1168.0,16730883.0,26,"Security, Garden, Parking",07/01/2025
Dadar,3,1138.0,7969442.0,39,Pool,2024-02-23
Andheri,2,851.0,10832218.0,23,"Security, Pool, Gym, Garden",2025-01-08
Bandra,2,1599.0,26774629.0,7,"Parking, Security",2024-09-15
Goregaon,2,1298.0,17350431.0,20,Pool,23/05/2024
Juhu,3,864.0,26564048.0,28,"Gym, Pool, Parking, Security",15/04/2025
Andheri,3,731.0,8124462.0,20,"Gym, Security, Garden",16-Mar-25
Borivali,2,1368.0,7081548.0,2,"Gym, Pool, Parking, Security",2025-04-03
Dadar,1,1252.0,7143927.0,30,"Security, Gym, Garden","January 12, 2024"
Borivali,3,406.0,8527511.0,26,"Garden, Parking","November 25, 2024"
Goregaon,1,1280.0,5734609.0,26,"Security, Gym, Garden, Pool",11-Aug-24
Worli,3,845.0,12956600.0,8,"Garden, Gym, Security, Pool",28-Sep-24
Navi Mumbai,3,598.0,13090958.0,32,Parking,2025-03-31
Navi Mumbai,3,250.0,24233991.0,32,"Parking, Garden, Gym",23/12/2024
Borivali,3,805.0,3774742.0,25,"Garden, Security",04/04/2025
MUMBAI,4,,6159607.0,27,"Gym, Security, Pool","February 11, 2025"
Worli,2,1455.0,17598923.0,30,"Security, Gym",2024-06-04
Navi Mumbai,3,1235.0,12116562.0,0,Gym,"January 07, 2025"
Worli,3,695.0,11149235.0,19,"Pool, Parking","January 08, 2024"
Andheri,2,1036.0,23168689.0,11,"Security, Garden, Gym",2024-05-01
Worli,1,1189.0,5921068.0,16,"Pool, Gym, Garden, Parking",13-Dec-24
Powai,2,930.0,7009398.0,14,"Gym, Pool","June 12, 2024"
Goregaon,2,,6531145.0,33,"Security, Garden",30-Mar-24
Navi Mumbai,3,713.0,3243797.0,15,"Garden, Security, Pool",15/05/2024
Worli,3,1034.0,11753840.0,3,"Gym, Parking","July 04, 2024"
Borivali,2,1044.0,7930990.0,7,"Pool, Security, Gym, Garden",2024-11-11
Bandra,1,797.0,6991876.0,33,"Garden, Parking, Gym, Security",26-Jun-24
Powai,5,250.0,6274127.0,24,"Pool, Garden, Security, Gym",28/01/2024
Powai,1,448.0,10738565.0,14,"Gym, Security, Pool",07/08/2024
Thane,2,1116.0,6721866.0,27,"Gym, Parking","December 22, 2024"
Worli,3,250.0,12396696.0,8,Gym,10/02/2024
Thane,2,1314.0,14296254.0,1,"Security, Gym",2024-08-15
Thane,1,1262.0,9095164.0,16,Security,"July 10, 2024"
Bandra,1,914.0,8732126.0,9,Parking,14/02/2025
Andheri,1,1109.0,12131241.0,8,"Gym, Garden, Parking, Pool",2025-03-22
Worli,3,1085.0,10667264.0,30,"Gym, Garden, Security",24-May-24
Dadar,2,859.0,24108996.0,1,Gym,19-Jul-24
Navi Mumbai,2,419.0,13137211.0,23,Security,"February 20, 2025"
Thane,3,,20943766.0,18,"Security, Garden, Parking",2024-07-30
Goregaon,3,1392.0,15655089.0,16,Gym,05/04/2025
Juhu,1,476.0,4920640.0,9,"Gym, Pool, Parking","August 07, 2024"
Goregaon,2,406.0,7764255.0,27,"Security, Parking, Pool","August 27, 2024"
Bandra,3,852.0,10544780.0,37,"Parking, Garden, Pool, Security",16/02/2025
Bandra,2,,18275402.0,27,Pool,2025-01-31
Borivali,2,950.0,34507519.0,0,"Security, Gym",15/02/2024
Andheri,3,1322.0,8117329.0,2,"Pool, Security, Garden, Gym",04-Feb-24
Navi Mumbai,4,250.0,11219385.0,14,"Security, Gym","September 09, 2024"
Thane,3,1453.0,17539162.0,9,Parking,24-Jan-25
Goregaon,3,757.0,10483399.0,20,"Security, Pool, Gym","March 22, 2024"
Juhu,3,1079.0,29106092.0,36,"Pool, Garden, Security, Gym",05/01/2025
Bandra,2,1116.0,4834691.0,14,"Parking, Garden",2024-09-12
Bandra,3,1157.0,16302222.0,22,"Parking, Pool, Garden, Gym",15/07/2024
Andheri,2,921.0,16206581.0,13,Parking,29-Oct-24
Juhu,2,1003.0,21665316.0,14,"Parking, Pool, Gym, Security",2025-02-12
Juhu,3,1001.0,11265222.0,9,Parking,2025-03-25
Andheri,3,679.0,18530206.0,8,Pool,"January 10, 2024"
Bandra,2,284.0,9346537.0,38,"Parking, Garden, Pool, Gym",2024-11-07
Navi Mumbai,4,473.0,6710374.0,4,"Security, Parking, Garden, Pool","October 12, 2024"
Worli,1,863.0,6148251.0,24,Parking,2024-08-29
Worli,2,624.0,4570617.0,25,Garden,2024-09-07
Andheri,1,625.0,8328423.0,7,Parking,"December 30, 2024"
Juhu,3,1529.0,13083900.0,21,Parking,2024-01-05
Thane,3,,9579354.0,24,"Pool, Parking",28/04/2024
Andheri,2,811.0,12222385.0,11,Security,2024-10-15
Navi Mumbai,3,,22769385.0,8,"Parking, Garden, Security",08-Jan-25
Andheri,2,,7956566.0,9,"Garden, Parking, Security","March 05, 2024"
Powai,3,938.0,44197461.0,9,"Security, Parking","May 25, 2024"
Goregaon,2,1054.0,17075339.0,8,"Gym, Pool, Security, Parking",11/08/2024
Juhu,2,753.0,9643981.0,25,"Gym, Garden, Parking, Pool",26-Aug-24
Borivali,4,660.0,9513655.0,34,"Gym, Parking, Pool",2024-06-25
Borivali,2,,5927553.0,26,"Gym, Garden",23/09/2024
Juhu,1,1114.0,10687334.0,30,"Garden, Gym, Parking",2024-12-06
Navi Mumbai,3,,2966942.0,18,"Garden, Parking, Pool",08/10/2024
Powai,5,666.0,23056533.0,37,"Garden, Gym, Security","March 03, 2024"
Powai,2,626.0,2002753.0,5,"Security, Parking, Pool",04-Aug-24
Bandra,1,682.0,11128841.0,14,Gym,"December 07, 2024"
Goregaon,2,1201.0,5463535.0,28,"Pool, Gym, Garden",10/11/2024
Worli,2,906.0,7126229.0,4,"Pool, Gym, Garden, Parking",2024-10-09
Dadar,2,413.0,7699830.0,13,"Pool, Garden, Parking, Security",25-Jun-24
Navi Mumbai,3,765.0,34462271.0,1,Parking,2025-04-05
Dadar,5,1089.0,5598726.0,22,"Parking, Pool","February 20, 2025"
Dadar,2,823.0,18784746.0,18,"Gym, Garden, Security",2024-04-07
Juhu,2,674.0,21774304.0,23,"Pool, Gym, Parking, Garden",14/04/2024
Borivali,2,1015.0,2668276.0,19,"Security, Parking, Pool",08-Apr-24
Borivali,1,1466.0,7502811.0,26,"Pool, Gym",19-Jan-25
Worli,4,1061.0,26447586.0,23,"Garden, Pool",08-Feb-25
Juhu,2,1355.0,4931412.0,16,"Garden, Gym, Pool",10/05/2025
Dadar,2,697.0,22274779.0,24,Parking,2024-11-06
Thane,3,897.0,10737792.0,30,"Parking, Garden",06-Jan-24
Borivali,2,890.0,10462852.0,27,"Pool, Security","April 20, 2025"
Navi Mumbai,3,941.0,11315624.0,27,"Security, Garden, Gym","April 09, 2025"
Navi Mumbai,1,1054.0,13330205.0,21,"Parking, Pool, Gym","July 15, 2024"
Bandra,3,578.0,6117213.0,4,"Security, Pool, Garden","December 16, 2024"
Andheri,4,,9283492.0,7,Gym,"May 12, 2024"
Thane,3,330.0,13556261.0,37,"Gym, Pool, Garden, Parking",23/12/2024
Borivali,5,432.0,12068768.0,27,Garden,2024-09-15
Powai,2,1647.0,13383529.0,11,"Security, Pool, Parking, Gym",12/03/2025
Borivali,2,721.0,7051760.0,24,"Security, Gym, Parking","January 23, 2024"
Bandra,3,1155.0,15861090.0,37,"Parking, Gym, Garden, Security","April 29, 2025"
Navi Mumbai,3,1494.0,11709200.0,14,"Parking, Security, Gym",22-Feb-24
Dadar,2,250.0,4204139.0,33,"Security, Pool",13-Jun-24
Powai,2,1294.0,7890555.0,12,"Security, Parking, Garden",2024-07-20
Juhu,1,1127.0,6341953.0,7,Parking,2025-04-02
Goregaon,2,1474.0,6293155.0,12,Pool,2024-03-23
Dadar,2,,8154756.0,35,"Gym, Pool, Security",24/05/2024
Goregaon,3,,15682926.0,5,"Parking, Gym",25-Mar-24
Thane,2,641.0,7451491.0,37,"Parking, Pool, Gym, Garden",2024-03-18
Andheri,1,1269.0,12422684.0,31,"Parking, Gym, Garden",01-Apr-25
Powai,3,887.0,11259216.0,20,"Security, Gym, Garden",31-Dec-24
Worli,3,1169.0,6800921.0,6,"Security, Garden, Parking",01-Jan-24
Powai,4,917.0,8825104.0,25,"Pool, Security, Gym, Parking",20-Feb-24
Borivali,3,256.0,18236024.0,14,Pool,21-Jun-24
Navi Mumbai,2,,11874262.0,22,"Gym, Garden, Pool",23-Jul-24
Borivali,3,973.0,15086287.0,37,"Parking, Security",16/09/2024
Borivali,2,807.0,23289145.0,14,Gym,"March 21, 2025"
Thane,1,1039.0,14089808.0,39,"Pool, Gym, Parking",24-Mar-25
Dadar,3,811.0,3428340.0,15,"Gym, Parking",03/01/2025
Worli,4,1606.0,12766800.0,31,"Garden, Gym, Parking, Security",2025-05-02
Worli,2,980.0,7490403.0,36,"Garden, Parking, Pool",14/10/2024
Borivali,2,743.0,32158314.0,17,"Garden, Security, Gym",03/02/2024
Goregaon,1,1018.0,13791481.0,19,"Parking, Gym, Pool, Garden",13/12/2024
Thane,2,749.0,7583892.0,1,"Pool, Gym",04-Apr-24
Borivali,2,932.0,15247211.0,22,"Garden, Security, Parking",2024-03-12
Andheri,3,,11461161.0,29,"Pool, Gym, Garden, Security",08/02/2024
Navi Mumbai,1,896.0,3871783.0,2,"Gym, Garden",2024-06-02
Dadar,4,732.0,18216466.0,38,"Pool, Gym, Garden, Security",06/09/2024
Juhu,3,507.0,8509349.0,0,Security,10-Jun-24
Andheri,3,1591.0,25453682.0,21,"Parking, Garden",13/03/2025
Goregaon,3,520.0,10072722.0,28,"Parking, Gym, Garden, Pool",27/04/2024
Powai,1,902.0,25740498.0,13,"Gym, Security, Pool, Garden",2024-09-15
Powai,2,619.0,14005195.0,27,"Gym, Parking",2025-01-13
Andheri,3,1003.0,19471726.0,20,"Pool, Garden, Parking, Gym",2024-11-01
Borivali,3,453.0,8080047.0,31,"Parking, Security, Garden, Gym","September 24, 2024"
Juhu,3,1194.0,13413922.0,5,Parking,2025-03-24
Bandra,2,1612.0,3852601.0,0,"Parking, Gym, Garden",23/02/2024
Bandra,4,606.0,10056984.0,20,"Gym, Security","August 23, 2024"
Goregaon,1,1325.0,4453857.0,3,"Garden, Security",2025-01-23
Borivali,4,766.0,5466853.0,2,"Gym, Security, Pool, Parking",22-Apr-25
Worli,5,1427.0,6359863.0,29,"Parking, Garden, Gym, Security",2024-08-09
Worli,2,1665.0,16130986.0,30,"Security, Garden, Parking",07-Sep-24
Dadar,3,818.0,9935094.0,33,"Garden, Security","November 08, 2024"
Juhu,1,367.0,11060118.0,18,"Pool, Security, Gym",04-Feb-25
Juhu,2,1231.0,9774108.0,19,"Parking, Pool","April 21, 2024"
Powai,2,,20757793.0,22,"Gym, Parking, Garden",11-Sep-24
Thane,3,1075.0,10879874.0,39,"Gym, Pool, Parking, Security",2024-10-29
Goregaon,4,781.0,12601195.0,24,"Security, Pool","February 10, 2025"
Bandra,3,590.0,7708607.0,14,Security,25/07/2024
Goregaon,2,1306.0,21631163.0,37,Parking,16/08/2024
Worli,3,1011.0,22626528.0,22,Pool,06/12/2024
Worli,5,394.0,10615934.0,1,Gym,2025-02-01
Andheri,1,1140.0,7643934.0,14,"Pool, Gym",06/03/2024
Dadar,5,1070.0,4116090.0,34,Garden,"March 15, 2024"
Juhu,1,,6445174.0,9,Parking,10/03/2025
Navi Mumbai,3,1466.0,2957178.0,13,Garden,"April 12, 2024"
Goregaon,2,683.0,6284611.0,26,"Security, Parking, Gym, Pool",25/02/2025
Worli,1,840.0,13445863.0,13,"Parking, Security, Garden, Gym",10-Jul-24
Thane,2,1169.0,10530223.0,34,"Security, Garden, Parking, Gym","September 08, 2024"
Powai,3,926.0,43748163.0,32,"Security, Parking, Gym, Garden",13/08/2024
Bandra,2,415.0,8687241.0,0,"Gym, Parking",20/10/2024
Dadar,1,964.0,8289672.0,33,"Gym, Garden, Pool, Parking",01/11/2024
Thane,3,,20535420.0,18,"Parking, Garden","April 07, 2024"
Dadar,4,1199.0,3415513.0,23,Security,"December 03, 2024"
Andheri,2,,4461251.0,3,"Pool, Security, Garden, Parking",12/10/2024
Navi Mumbai,2,933.0,16164125.0,35,"Garden, Security",30-Nov-24
Worli,2,533.0,9652673.0,12,"Security, Parking, Garden, Pool","December 12, 2024"
Powai,1,819.0,9786382.0,31,"Parking, Garden, Gym, Pool","March 10, 2025"
Thane,3,1239.0,6185444.0,8,"Gym, Security, Garden",22-Mar-25
Dadar,3,628.0,12532829.0,38,"Garden, Security, Gym",2025-04-26
Juhu,3,888.0,6683725.0,15,"Security, Garden",03-Nov-24
Andheri,2,572.0,11337722.0,2,"Security, Gym, Pool, Parking",05/09/2024
Juhu,3,485.0,5416226.0,19,"Parking, Garden, Pool","June 14, 2024"
Powai,3,870.0,9728418.0,9,"Security, Pool, Gym, Parking","April 25, 2025"
Thane,3,960.0,36576677.0,21,"Gym, Parking","April 16, 2025"
Andheri,3,1597.0,8410896.0,2,"Gym, Garden, Parking, Security","November 30, 2024"
Thane,3,,10028535.0,10,Parking,2024-01-30
Worli,3,882.0,9611647.0,24,Garden,"September 03, 2024"
Borivali,2,462.0,12051731.0,7,"Garden, Security","April 15, 2024"
Andheri,5,1114.0,14373419.0,8,"Gym, Garden, Pool",2024-02-20
Juhu,2,1039.0,12664871.0,14,"Garden, Gym, Pool, Security",21/03/2024
Powai,3,1420.0,12833757.0,31,"Garden, Parking, Pool, Security",12/05/2024
Navi Mumbai,2,1289.0,9737549.0,2,Gym,2024-10-11
Worli,3,1022.0,11526668.0,3,"Pool, Parking, Garden",22/01/2025
Borivali,3,735.0,9545942.0,29,Garden,17/05/2024
Navi Mumbai,2,971.0,3658577.0,12,"Garden, Parking",02-Jul-24
Bandra,1,861.0,52607487.0,20,"Security, Parking, Pool, Gym",04-Feb-25
Worli,3,1233.0,16800239.0,18,"Pool, Garden",25-Nov-24
Powai,3,1189.0,6030910.0,38,"Garden, Pool, Parking, Security",2024-09-29
Dadar,2,796.0,12460027.0,21,"Garden, Security, Pool","December 05, 2024"
Andheri,2,388.0,4839469.0,19,"Gym, Parking, Pool",2025-04-16
Thane,3,1366.0,8068507.0,36,"Pool, Security",2024-03-09
Powai,1,1103.0,4460658.0,30,"Garden, Gym, Pool, Parking",2024-02-03
Andheri,2,788.0,10525265.0,9,"Parking, Pool",2024-09-18
